epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,72.0565,0.82521,0.61107,1.04369,0.90043,0.96592,0.97648,0.57942,1.55721,0.72623,1.76603,0.000211783,0.000211783,0.000211783
42,73.0723,0.88,0.69497,1.07909,0.9508,0.96179,0.995,0.57758,1.53684,0.70196,1.73713,0.00020648,0.00020648,0.00020648
43,74.1387,0.83627,0.65538,1.05822,0.9508,0.96179,0.995,0.57758,1.53684,0.70196,1.73713,0.000200671,0.000200671,0.000200671
44,75.2196,0.82866,0.66115,1.05683,0.9122,0.96812,0.995,0.60563,1.4719,0.63879,1.65614,0.000194353,0.000194353,0.000194353
45,76.2602,0.83719,0.62453,1.05042,0.9122,0.96812,0.995,0.60563,1.4719,0.63879,1.65614,0.000187528,0.000187528,0.000187528
46,77.3812,0.81186,0.58775,1.02175,0.91208,0.97102,0.995,0.60466,1.48303,0.62622,1.63206,0.000180196,0.000180196,0.000180196
47,78.8419,0.77404,0.59954,1.01998,0.91208,0.97102,0.995,0.60466,1.48303,0.62622,1.63206,0.000172356,0.000172356,0.000172356
48,80.1805,0.77623,0.61865,1.01952,0.93916,0.93747,0.995,0.59947,1.53902,0.62822,1.68012,0.000164008,0.000164008,0.000164008
49,81.2242,0.7563,0.55045,0.9812,0.93916,0.93747,0.995,0.59947,1.53902,0.62822,1.68012,0.000155153,0.000155153,0.000155153
50,82.2755,0.70475,0.54802,0.98989,0.95677,0.93295,0.995,0.59171,1.5541,0.6337,1.70914,0.000145791,0.000145791,0.000145791
51,84.6319,0.74167,0.57624,0.99721,0.95677,0.93295,0.995,0.59171,1.5541,0.6337,1.70914,0.000134575,0.000134575,0.000134575
52,86.3396,0.70627,0.55763,0.98791,0.9519,0.93459,0.995,0.60272,1.50953,0.61725,1.6632,0.000121887,0.000121887,0.000121887
53,87.3282,0.81256,0.66557,1.11837,0.9519,0.93459,0.995,0.60272,1.50953,0.61725,1.6632,0.000109198,0.000109198,0.000109198
54,88.439,0.74975,0.5842,1.06314,0.95388,0.93483,0.995,0.63416,1.4152,0.61191,1.567,9.65095e-05,9.65095e-05,9.65095e-05
55,89.4652,0.60356,0.49175,0.92752,0.95388,0.93483,0.995,0.63416,1.4152,0.61191,1.567,8.3821e-05,8.3821e-05,8.3821e-05
56,90.7272,0.72454,0.54546,0.96153,0.95006,0.93989,0.995,0.62589,1.37872,0.58825,1.53143,7.11325e-05,7.11325e-05,7.11325e-05
57,92.2267,0.61254,0.50149,0.93002,0.95006,0.93989,0.995,0.62589,1.37872,0.58825,1.53143,5.8444e-05,5.8444e-05,5.8444e-05
58,93.5653,0.64955,0.51149,0.93816,0.9468,0.94419,0.995,0.63077,1.37456,0.57726,1.53302,4.57555e-05,4.57555e-05,4.57555e-05
59,94.574,0.6242,0.4991,0.92095,0.9468,0.94419,0.995,0.63077,1.37456,0.57726,1.53302,3.3067e-05,3.3067e-05,3.3067e-05
60,95.593,0.77362,0.55385,0.95539,0.94907,0.94251,0.995,0.64961,1.3598,0.56557,1.51392,2.03785e-05,2.03785e-05,2.03785e-05
